linkId,dir,workHref
036_0046,036_Уладзіслаў Галубок,"/Uladzislau_Halubok/Nie_paklausy,_nie_vozmies.html"
036_0070,036_Уладзіслаў Галубок,"/Uladzislau_Halubok/Cakaj,_bracie.html"
039_0024,039_Цішка Гартны,"/Ciska_Hartny/Biez_pary_pamior_ty,_bracie.html"
039_0051,039_Цішка Гартны,"/Ciska_Hartny/Dojdziem,_synok.html"
039_0054,039_Цішка Гартны,"/Ciska_Hartny/Zahudzi_ty,_viecier.html"
039_0064,039_Цішка Гартны,"/Ciska_Hartny/Krasuj,_zbozza.html"
046_0001,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Adna.html
046_0002,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Bez.html
046_0004,046_Канстанцыя Буйло,"/Kanstancyja_Bujlo/Vocy_seryja,_a_blask_ich_-_zalaty.html"
046_0005,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Hostra_u_chvorym_sercy_uspychnula_tryvoha.html
046_0006,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Dziaucyna.html
046_0007,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Dobry_viecar.html
046_0014,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Lahodny_viecar_syple_u_recku_kraski.html
046_0015,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Lebiadzinaja_piesnia.html
046_0016,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Lipy.html
046_0017,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Lublu.html
046_0018,046_Канстанцыя Буйло,"/Kanstancyja_Bujlo/Lublu_ahon,_sto_nielha_patusyc.html"
046_0019,046_Канстанцыя Буйло,"/Kanstancyja_Bujlo/Laci,_dumka.html"
046_0020,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Mahila.html
046_0021,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Majo_scascie_mima_tolki_sto_prajslo.html
046_0022,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Miacielica.html
046_0023,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Na_krylli_piesni.html
046_0034,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Rana.html
046_0035,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Rusalki.html
046_0036,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Ruta.html
046_0037,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Snieh.html
046_0038,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Tamu_mnie_sumna_zyc_na_sviecie.html
046_0039,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Tapola.html
046_0040,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/To_nie_piesnia.html
046_0041,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/U_biassonnuju_noc.html
046_0043,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/U_krainie_mar.html
046_0044,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Cichim_homanam_hordych_viarsyn.html
046_0045,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Seraja_hadzina.html
046_0046,046_Канстанцыя Буйло,/Kanstancyja_Bujlo/Ja_chaciela_b_prarasci_sasnoj.html
060_0006,060_Міхась Чарот,"/Michas_Carot/Viedaj,_sviet.html"
060_0029,060_Міхась Чарот,"/Michas_Carot/Calaviek,_jaki_nie_radziusia.html"
061_0018,061_Кандрат Крапіва,"/Kandrat_Krapiva/Balabon_da_pary,_balabon_zbor5.html"
061_0041,061_Кандрат Крапіва,"/Kandrat_Krapiva/Hitler_Marcie_pahrazaje,_camu_Marta_nie_radzaje_zbor5.html"
061_0054,061_Кандрат Крапіва,"/Kandrat_Krapiva/Dzicia,_Vozyk_i_Zmiaja_zbor5.html"
061_0127,061_Кандрат Крапіва,"/Kandrat_Krapiva/Nie_hubi_siabie,_dziaucyna_zbor5.html"
061_0156,061_Кандрат Крапіва,"/Kandrat_Krapiva/Sava,_Asiol_dy_Sonca_zbor5.html"
