author_id;author_name;author_lifetime;author_born;author_died;author_gender;priority;isNationalPoet;v1;author_wkpd_url;author_other_url;src_knihi_url;src_vershyRu_url;src_other_url;author_poemCount;src_knihi_path
100;Міхась Багун;1908-1938;1908;1938;m;;;;https://be.wikipedia.org/wiki/%D0%9C%D1%96%D1%85%D0%B0%D1%81%D1%8C_%D0%91%D0%B0%D0%B3%D1%83%D0%BD ;;;;;;
101;Мікола Зосім;;;;m;;;;;;;;;;
102;Пятрусь Граніт;1909-1980;1909;1980;m;;;;https://be.wikipedia.org/wiki/%D0%9F%D1%8F%D1%82%D1%80%D1%83%D1%81%D1%8C_%D0%93%D1%80%D0%B0%D0%BD%D1%96%D1%82 ;;;;;;
103;Сяргей Дарожны;1909-1943;1909;1943;m;;;;https://be.wikipedia.org/wiki/%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%9C%D1%96%D1%85%D0%B0%D0%B9%D0%BB%D0%B0%D0%B2%D1%96%D1%87_%D0%94%D0%B0%D1%80%D0%BE%D0%B6%D0%BD%D1%8B ;;;;;;
104;Зінаіда Бандарына;1909-1959;1909;1959;f;;;;https://be.wikipedia.org/wiki/%D0%97%D1%96%D0%BD%D0%B0%D1%96%D0%B4%D0%B0_%D0%90%D0%BB%D1%8F%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0%D1%9E%D0%BD%D0%B0_%D0%91%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%8B%D0%BD%D0%B0 ;;;;;;
105;Максім Лужанін;1909-2001;1909;2001;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D1%81%D1%96%D0%BC_%D0%9B%D1%83%D0%B6%D0%B0%D0%BD%D1%96%D0%BD ;;https://knihi.com/Maksim_Luzanin/;http://vershy.ru/category/maks%D1%96m-luzhan%D1%96n;;;Maksim_Luzanin
106;Сяргей Ракіта;1909-1942;1909;1942;m;;;;https://be.wikipedia.org/wiki/%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%A0%D0%B0%D0%BA%D1%96%D1%82%D0%B0 ;;;;;;
107;Павел Сушко;1909-1974;1909;1974;m;;;;https://be.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB_%D0%9C%D1%96%D1%85%D0%B0%D0%B9%D0%BB%D0%B0%D0%B2%D1%96%D1%87_%D0%A1%D1%83%D1%88%D0%BA%D0%BE;;;;;;
108;Сяргей Крывец;1909-1945;1909;1945;m;;;;https://be.wikipedia.org/wiki/%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%9C%D1%96%D1%85%D0%B0%D0%B9%D0%BB%D0%B0%D0%B2%D1%96%D1%87_%D0%9A%D1%80%D1%8B%D0%B2%D0%B5%D1%86 ;;;;;;
109;Алесь Пруднікаў;1910-1941;1910;1941;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%81%D1%8C_%D0%9F%D1%80%D1%83%D0%B4%D0%BD%D1%96%D0%BA%D0%B0%D1%9E ;;;;;;
110;Зяма Півавараў;1910-1937;1910;1937;m;;;;https://be.wikipedia.org/wiki/%D0%97%D1%8F%D0%BC%D0%B0_%D0%A0%D0%B0%D0%BC%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%9F%D1%96%D0%B2%D0%B0%D0%B2%D0%B0%D1%80%D0%B0%D1%9E ;;;;;;
111;Змітро Віталін;1912-2004;1912;2004;m;;;;https://be.wikipedia.org/wiki/%D0%97%D0%BC%D1%96%D1%82%D1%80%D0%BE_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%BD ;;;;;;
112;Ларыса Геніюш;1910-1983;1910;1983;f;!;;TRUE;https://be.wikipedia.org/wiki/%D0%9B%D0%B0%D1%80%D1%8B%D1%81%D0%B0_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B0%D1%9E%D0%BD%D0%B0_%D0%93%D0%B5%D0%BD%D1%96%D1%8E%D1%88 ;;https://knihi.com/Larysa_Hienijus/;http://vershy.ru/category/larysa-gen%D1%96yush;;;Larysa_Hienijus
113;Алесь Жаўрук;1910-1942;1910;1942;m;;;;https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%81%D1%8C_%D0%96%D0%B0%D1%9E%D1%80%D1%83%D0%BA ;;;;;;
114;Уладзімір Корбан;1910-1971;1910;1971;m;;;;https://be.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B0%D0%B4%D0%B7%D1%96%D0%BC%D1%96%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%9A%D0%BE%D1%80%D0%B1%D0%B0%D0%BD ;;;;;;
